Datetime,LMP,HenryHub
2016-01-29,25.74627708333333,2.28
2016-01-30,20.487095833333328,2.28
2016-01-31,24.309829166666667,2.28
2016-02-01,29.90120750000001,2.28
2016-02-02,30.026731249999994,2.07
2016-02-03,37.70838791666665,2.06
2016-02-04,38.51966375000001,2.07
2016-02-05,36.705152083333346,2.08
2016-02-06,29.97800375,2.08
2016-02-07,26.48096458333333,2.08
2016-02-08,39.64244458333333,2.23
2016-02-09,38.89202625,2.17
2016-02-10,38.88812791666667,2.16
2016-02-11,27.13316708333333,2.15
2016-02-12,24.740790000000004,2.08
2016-02-13,22.434328333333333,2.08
2016-02-14,20.88291875,2.08
2016-02-15,24.811844583333325,2.08
2016-02-16,25.45720750000001,1.95
2016-02-17,23.391004166666665,1.93
2016-02-18,22.822898750000004,1.89
2016-02-19,21.647617916666665,1.83
2016-02-20,19.831310416666668,1.83
2016-02-21,18.472530416666668,1.83
2016-02-22,22.88563041666666,1.86
2016-02-23,22.98618041666667,1.85
2016-02-24,23.195327083333336,1.85
2016-02-25,23.192462083333325,1.78
2016-02-26,22.98417375,1.78
2016-02-27,18.27659875,1.78
2016-02-28,19.843309166666664,1.78
2016-02-29,26.33343958333333,1.62
2016-03-01,25.804281666666668,1.57
2016-03-02,26.37884458333333,1.6
2016-03-03,21.024420833333334,1.59
2016-03-04,19.4426,1.49
2016-03-05,17.24160666666667,1.49
2016-03-06,11.276505,1.49
2016-03-07,23.880057083333334,1.56
2016-03-08,26.54842083333333,1.6
2016-03-09,20.82057,1.61
2016-03-10,24.33949166666667,1.72
2016-03-11,23.685449583333334,1.74
2016-03-12,18.715749166666672,1.74
2016-03-13,16.91970583333333,1.74
2016-03-14,23.6122175,1.68
2016-03-15,22.606193750000006,1.81
2016-03-16,25.206604166666665,1.77
2016-03-17,23.69292458333333,1.84
2016-03-18,22.511530416666666,1.84
2016-03-19,19.54880458333333,1.84
2016-03-20,15.719084166666667,1.84
2016-03-21,21.087830833333328,1.79
2016-03-22,15.545763333333333,1.79
2016-03-23,22.05857541666667,1.79
2016-03-24,19.723736666666667,1.78
2016-03-25,24.41378958333333,1.78
2016-03-26,16.860386666666667,1.78
2016-03-27,13.469162916666667,1.78
2016-03-28,17.274467499999997,1.78
2016-03-29,16.137649166666662,1.77
2016-03-30,22.06218291666666,1.87
2016-03-31,20.545340416666672,1.98
2016-04-01,22.360479166666664,1.88
2016-04-02,18.1824975,1.88
2016-04-03,18.14299083333333,1.88
2016-04-04,21.746052083333336,1.96
2016-04-05,23.13412208333333,1.96
2016-04-06,23.78710583333334,1.91
2016-04-07,24.34728916666666,1.96
2016-04-08,22.928044166666666,1.99
2016-04-09,19.591472500000002,1.99
2016-04-10,17.59577,1.99
2016-04-11,25.32051125,1.9
2016-04-12,24.25749291666667,1.97
2016-04-13,19.256126666666667,2.01
2016-04-14,19.750221666666665,1.93
2016-04-15,21.887637916666666,1.71
2016-04-16,18.379954166666668,1.71
2016-04-17,18.50705083333333,1.71
2016-04-18,29.28614208333333,1.76
2016-04-19,27.63324,1.94
2016-04-20,30.461435416666664,1.94
2016-04-21,28.37276333333333,1.96
2016-04-22,30.619223333333334,1.92
2016-04-23,17.173840416666668,1.92
2016-04-24,11.618142916666667,1.92
2016-04-25,13.652758333333333,1.97
2016-04-26,19.667069166666668,1.97
2016-04-27,15.922557500000005,1.88
2016-04-28,16.587200833333334,1.88
2016-04-29,15.698684999999998,1.89
2016-04-30,17.86729625,1.89
2016-05-01,58.66415000000001,1.89
2016-05-02,27.991773749999997,1.91
2016-05-03,29.785931250000004,1.94
2016-05-04,27.2855425,2.03
2016-05-05,26.12786583333333,2.05
2016-05-06,26.36458541666667,1.86
2016-05-07,23.434235,1.86
2016-05-08,16.338942499999998,1.86
2016-05-09,28.6587675,2.01
2016-05-10,31.59928458333334,2.01
2016-05-11,35.82582291666665,2.01
2016-05-12,37.22353791666667,2.01
2016-05-13,33.3937875,1.96
2016-05-14,19.849772916666666,1.96
2016-05-15,12.726012916666665,1.96
2016-05-16,21.302807916666673,1.91
2016-05-17,25.20037791666667,1.97
2016-05-18,24.72626625,1.91
2016-05-19,24.44623375,1.83
2016-05-20,21.504189166666666,1.81
2016-05-21,14.14629125,1.81
2016-05-22,12.02191375,1.81
2016-05-23,23.91029541666667,1.96
2016-05-24,21.58290083333333,1.91
2016-05-25,21.061762916666673,1.77
2016-05-26,24.06787083333333,1.77
2016-05-27,20.588900416666668,1.77
2016-05-28,22.433697916666667,1.77
2016-05-29,22.29257,1.77
2016-05-30,20.29103208333333,1.77
2016-05-31,24.550477916666665,2.12
2016-06-01,40.253640416666656,2.25
2016-06-02,44.21637000000001,2.3
2016-06-03,43.672215,2.31
2016-06-04,35.96282541666667,2.31
2016-06-05,29.821439166666664,2.31
2016-06-06,33.98832375,2.32
2016-06-07,28.58318583333333,2.32
2016-06-08,28.14186375,2.36
2016-06-09,32.97940416666666,2.34
2016-06-10,28.062089583333336,2.46
2016-06-11,25.58420291666667,2.46
2016-06-12,24.2586975,2.46
2016-06-13,26.33285041666667,2.55
2016-06-14,26.01972958333333,2.55
2016-06-15,26.82574375,2.62
2016-06-16,34.211782500000005,2.62
2016-06-17,30.41396041666667,2.59
2016-06-18,32.138378749999994,2.59
2016-06-19,36.031563333333345,2.59
2016-06-20,52.58338000000001,2.74
2016-06-21,46.29532749999999,2.79
2016-06-22,39.04345625,2.82
2016-06-23,34.89764833333333,2.69
2016-06-24,38.117790833333345,2.71
2016-06-25,43.27288666666666,2.71
2016-06-26,40.04103916666667,2.71
2016-06-27,43.58974291666666,2.79
2016-06-28,42.07521499999999,2.89
2016-06-29,43.01046958333333,2.94
2016-06-30,39.33554916666665,2.94
2016-07-01,35.63583000000001,2.89
2016-07-02,31.15111708333332,2.89
2016-07-03,29.439644166666664,2.89
2016-07-04,28.27225708333333,2.89
2016-07-05,31.23101375,2.82
2016-07-06,30.01245625,2.82
2016-07-07,30.229130416666663,2.78
