Word,PhonDISC,num_sylls_est,num_homophones,neighborhood_size,p_normalized,meanings,num_phones,normalized_surprisal
oviparous,5vIp@r@s,4,0,0,7.801757894572309e-09,1,8,1.41712920147889
oxidization,QksId2z1SH,4,0,0,3.0904761393117554e-06,1,10,0.8739200686042089
oxygenate,QksI_@n1t,4,0,0,4.802666749901951e-06,1,9,0.9497492920333303
oxygenize,QksI_@n2z,4,0,0,1.6245607914545234e-07,1,9,1.113165568169978
oystercatcher,4st@k{J@R,4,0,0,7.974214945192873e-13,1,9,1.7030597936682428
pacification,p{sIfIk1SH,4,0,1,0.0005129579004578,1,10,0.651914435781279
pacifier,p{sIf2@R,4,0,0,8.536911541361705e-05,1,8,0.9122406624487894
pacifism,p{sIfIz@m,4,0,0,7.629929052282515e-09,1,9,1.2607450645865503
paediatric,pidI{trIk,4,0,1,4.591152446665707e-11,1,9,1.5074782630451327
paediatrics,pidI{trIks,4,0,1,8.859224571458287e-12,1,10,1.4281830370213737
paganism,p1g@nIz@m,4,0,0,2.5530682730969604e-08,1,9,1.2024626280261583
